word,frequency
waitresses,1091
food pretty,1090
french fries,1090
bell,1090
serves,1087
cherry,1087
presented,1086
english,1086
tired,1085
new york,1084
pair,1084
pepperoni,1084
practice,1083
spread,1083
changing,1081
flowers,1081
spices,1080
bloody mary,1079
great customer,1079
def,1078
place amazing,1078
relax,1077
tells,1073
reminded,1072
balance,1071
quote,1070
sounds,1070
costs,1069
catfish,1068
address,1067
timely,1067
originally,1066
caramel,1066
waiters,1065
traffic,1064
valet,1064
hot sauce,1063
floors,1063
mild,1063
overall great,1062
mike,1061
confused,1060
begin,1059
worker,1058
message,1058
businesses,1057
tickets,1057
cauliflower,1055
order food,1055
books,1054
anniversary,1054
couple times,1051
match,1051
boise,1051
managed,1050
neat,1050
dance,1049
knowledge,1049
dead,1049
cream cheese,1048
mid,1048
sat bar,1048
picking,1047
place like,1046
time come,1046
control,1045
al,1045
bread pudding,1045
trouble,1045
pickup,1044
shocked,1044
stomach,1043
date night,1043
contacted,1043
ve times,1043
appeared,1042
payment,1042
posted,1041
chunks,1040
balls,1039
atmosphere great,1039
gonna,1039
public,1039
corporate,1038
hype,1038
cheddar,1037
access,1037
draft,1036
opportunity,1036
try new,1036
really liked,1035
happens,1034
crap,1033
dive,1033
sucks,1032
hidden gem,1032
lunch dinner,1031
perfectly cooked,1030
removed,1029
machines,1029
favorite place,1028
grouper,1028
technician,1027
chorizo,1026
appointments,1026
arrival,1025
bc,1024
boxes,1024
don care,1024
espresso,1024
directly,1023
jack,1022
flavored,1022
stopping,1021
reasons,1019
named,1019
blocks,1019
brewery,1018
promised,1018
threw,1017
temperature,1016
got home,1015
broke,1015
quaint,1014
dried,1012
casino,1012
paint,1011
ve got,1010
service slow,1008
spring rolls,1008
intimate,1006
weeks ago,1005
details,1004
big deal,1004
speaking,1004
absolutely love,1003
tend,1003
kinds,1003
make feel,1002
truffle,1001
cheesy,1000
organic,997
saved,997
potential,997
definitely return,996
final,995
unit,994
jalape,994
anytime,993
listed,992
river,992
cancel,992
cupcakes,992
cups,991
tasteless,990
turns,989
sleep,988
enter,988
grilled cheese,988
text,987
yellow,987
dined,987
good job,987
blood,986
rarely,986
hotels,986
masks,984
winter,984
syrup,984
fresh delicious,983
fry,983
potato salad,983
brother,982
definitely coming,981
ave,980
lacked,980
concerned,980
example,979
brew,979
soy,979
budget,977
sounded,977
gotta,975
chop,975
legs,975
careful,975
tourist,975
law,974
shrimp grits,974
regularly,974
train,973
partner,973
service fast,973
towels,971
till,969
search,969
equally,968
new favorite,967
exact,967
locally,967
reasonable prices,967
played,966
gelato,966
buns,964
dental,964
mile,964
fluffy,963
just don,962
informative,962
place try,962
food place,962
annoyed,962
tvs,962
mr,961
shape,960
form,960
handed,960
relatively,958
fish tacos,958
stale,958
won disappointed,958
clients,957
fingers,957
communication,957
goat cheese,955
grand,955
pedi,952
steamed,952
place order,951
best place,951
animals,950
topping,950
meant,947
wait long,947
hands best,946
hardly,945
respect,945
impossible,945
studio,945
sb,945
caring,944
crunch,944
smoking,944
impression,942
estimate,942
definitely going,942
hit miss,941
advantage,941
pack,940
really wanted,939
time got,939
ass,938
colors,938
wasn bad,938
signature,938
beds,937
ruined,937
eats,937
time food,936
jazz,936
dim,935
showing,935
st pete,934
worry,934
energy,934
memorable,933
views,933
place stars,932
computer,930
wild,930
great spot,928
naan,928
inn,927
liquor,925
age,925
downstairs,925
common,925
quesadilla,925
dining area,923
taken care,923
claim,922
carpet,922
brand new,922
snacks,921
consistency,921
terms,921
everyday,921
caught,919
wise,919
diners,918
adults,917
melt,917
ketchup,916
base,915
boba,915
pan,914
tempura,913
wifi,913
half hour,912
wet,912
result,912
dressed,911
food ordered,911
installed,911
chris,909
keeps,909
food ve,909
teeth,908
cilantro,908
charming,907
omelet,906
trendy,906
pink,906
cares,905
membership,905
previously,904
peanut butter,902
fish chips,902
sticks,901
tad,901
cucumber,900
includes,900
signs,899
shredded,899
hearing,899
amazing service,899
celebrate,898
vodka,897
charges,897
messed,895
random,895
compare,895
enchiladas,895
service quick,894
repairs,894
tenders,894
damage,894
nyc,894
coast,893
poorly,893
times ve,892
spaghetti,892
tots,891
great price,891
burritos,890
anyways,890
accept,890
ways,890
just wanted,890
